"","term","ATT","type","se"
"1","interaction",-0.00828856113979472,"dyn",0.00405785659205498
"2","interaction",-0.00737839025702712,"simple",0.00280005903346265
"3","treatment",0.0088376916185975,"dyn",0.00429726908775483
"4","treatment",0.00566687539795622,"simple",0.00458175578372663
