"","term","ATT","type","se"
"1","interaction",-0.0430717773867216,"dyn",0.0106274995135749
"2","interaction",-0.0410657460592589,"simple",0.00797702481478147
"3","treatment",0.0183171907579674,"dyn",0.0056102369375259
"4","treatment",0.0149086954725542,"simple",0.00526110965965971
