"","term","ATT","type","se"
"1","interaction",0.0137755239921592,"dyn",0.00817199432626947
"2","interaction",0.0104046029307805,"simple",0.00597665600589502
"3","treatment",0.00336058610883873,"dyn",0.00355163831401881
"4","treatment",0.00142572415906923,"simple",0.00341159876104897
