"","term","ATT","type","se"
"1","interaction",0.00550344763480557,"dyn",0.00756995115516455
"2","interaction",0.0133724425253799,"simple",0.00607077837792141
"3","treatment",0.00616515390490418,"dyn",0.00364558826138338
"4","treatment",0.00265927123647543,"simple",0.00400028400965145
