"","term","ATT","type","se"
"1","interaction",-0.000714188778525053,"dyn",0.00520681436252669
"2","interaction",-0.00109975889298242,"simple",0.00377287337184238
"3","treatment",0.00710434753630247,"dyn",0.00560827598318099
"4","treatment",0.00439967465696766,"simple",0.00559306023237325
